SKU,กลุ่ม,ชื่อสินค้า,หมวด,สีหลัก(แนะนำ),จำนวนสี,วัสดุ,ขนาด,ปัญหาที่ต้องเอาออก,โฟลเดอร์ต้นฉบับ (Demo),ไฟล์อ้างอิง,รูปปัจจุบัน(output ที่ต้องทับ)
EX088,C,แก้วแก้วพร้อมปลอก ทรงโหลเตี้ยฝาเกลียว,แก้ว/กระบอกน้ำ,ชมพู,3,,,Two white sleeve cups (different sizes) shown together with straps — should be ONE.,C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\ขวด love bottle\ขวดพร้อมปลอก,,public/images/products/ex088-drinkware/ex088-drinkware-square.jpg
EX001,C,เสื้อยืดคอกลม แขนสั้น,เสื้อผ้า,ขาว,30,ผ้า Cotton 100% เบอร์ 32 Semi,"ไซส์ S อก 32"" ยาว 25""","Baked-in spec panel on the right: color label 'ฟ้า' + 'COTTON 100% คอกลม/คอวี'. Old supplier catalog tile, not a clean studio shot.",C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\เสื้อ สมานการ์เม้นท์\เซฟสีเสื้อเพิ่มเติม,,public/images/products/ex001-garment/ex001-garment-square.jpg
EX007,C,เสื้อยืดคอวี แขนสั้น,เสื้อผ้า,แดง,13,,,Baked-in spec panel: color label 'แดง' + 'COTTON 100% คอกลม/คอวี'. Old supplier catalog tile on mannequin.,C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\เสื้อ สมานการ์เม้นท์\เซฟสีเสื้อเพิ่มเติม,,public/images/products/ex007-garment/ex007-garment-square.jpg
EX049,C,เสื้อช็อปแขนสั้น,เสื้อผ้า,ฟ้า-เทา,6,ผ้า Super Comb-Twill,,"Large 'POLO MAKER' watermark across the chest, plus a faint reflective-tape prop bottom-left. Other-brand mark contamination.",C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\ชุด หมวก PMK\ชุดช็อป\เสื้อช็อปแขนสั้น,,public/images/products/ex049-garment/ex049-garment-square.jpg
EX050,C,เสื้อช็อปแขนยาว,เสื้อผ้า,กรมท่า/ดำ,2,ผ้า Super Comb-Twill,,Large 'POLO MAKER' watermark across the chest of the long-sleeve shop jacket; reflective-tape prop held bottom-left.,C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\ชุด หมวก PMK\ชุดช็อป\เสื้อช็อปแขนยาว,,public/images/products/ex050-garment/ex050-garment-square.jpg
EX081,C,เสื้อโปโลขลิบปก (Micro Polyester),เสื้อผ้า,white plain,11,,,Red 'PMK' brand logo baked top-left; two-model group shot (male+female) on the zipper polo.,C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\ชุด หมวก PMK\เสื้อโปโล\zipper,,public/images/products/ex081-garment/ex081-garment-square.jpg
EX043,C,หมวกแก๊ปตาข่าย (ทรัคเกอร์) เกรดพรีเมียม,หมวก,ชมพู,22,,,full โฮมสกีน (homescreen) marketing infographic: HS client logo + QR code + Thai promo copy + 4 caps panel collage on a red trucker cap,C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\หมวก โฮมสกีน,,public/images/products/ex043-hat/ex043-hat-square.jpg
EX062,C,หมวกปีกแข็ง (บูนนี่/ปีกกว้าง มีสายรัดคาง),หมวก,เขียวขี้ม้า,6,,,"โฮมสกีน infographic of a bucket/boonie hat: HS client logo screened front+back, 'ฟรี!!' promo copy, LINE/phone/FB contact bar, front/back panels",C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\หมวก โฮมสกีน,,public/images/products/ex062-hat/ex062-hat-square.jpg
EX064,C,หมวกคลุมหน้า/คลุมท้ายทอย พร้อมสกรีน,หมวก,ดำ,6,,,"โฮมสกีน infographic of a face/neck-cover hat: HS client logo on cap+flap, 'ฟรี!' promo copy, LINE/phone/FB contact bar, front/back panels",C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\หมวก โฮมสกีน,,public/images/products/ex064-hat/ex064-hat-square.jpg
EX019,C,ร่มกอล์ฟ 30 นิ้ว 2 ชั้น (สลับสี 2 โทน),ร่ม,navy+white,6,,30 นิ้ว,"yellow/black 2-tone golf umbrella SCREENED with client logos: 'MG' car-brand logo + 'AG MG / Ayutthaya... Tel 035-9...' client name/phone on multiple panels, plus 'ร่มนิวฟลาย.com' watermark",C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\ร่ม new fly\ร่มกอล์ฟ,,public/images/products/ex019-umbrella/ex019-umbrella-square.jpg
EX094,C,ร่มยาว 24 นิ้ว ตรง ลายพิมพ์ (rakafactory),ร่ม,ฟ้าลายปลา,2,,,"umbrella canopy printed with client artwork 'chwst jello BOOM' + cartoon characters; 'LP / LUCKY PAINT CO.,LTD' watermark on the canopy",C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\ร่ม rakafactory\ร่มยาว 24 นิ้ว,,public/images/products/ex094-umbrella/ex094-umbrella-square.jpg
EX095,C,กระเป๋าผ้าแคนวาส Canvas Tote 14 oz.,กระเป๋า,ธรรมชาติ/Natural,1,,,"Live is a tilted lifestyle photo-card of a model holding a 'NEWYORK' printed canvas tote (face/torso/hand in frame), plus a faded ghost duplicate on the left. Not a clean product-only shot.",C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\กระเป๋า mpkj,canvas 1.jpg,public/images/products/ex095-bags/ex095-bags-square.jpg
EX097,C,กระเป๋านุ่มฟู Fluffy Puffy Bag,กระเป๋า,หลากสี/Multi,1,,,"Live is a full 'Fluffy-Puffy' spec sheet: 4 bag sizes with dimension labels, a QTY price-list table, color swatches, LINE id and 'COPYRIGHT@ URBAN ASSET SERVICE, MPKJ GROUP'.",C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\กระเป๋า mpkj,fluffy puffy.jpg,public/images/products/ex097-bags/ex097-bags-square.jpg
EX098,C,กระเป๋าระบายจีบ Fluffy Moji Bag,กระเป๋า,หลากสี/Multi (10+ colors),1,,,"Live shows two black drawstring bags with dimension callouts (42cm / 25.5cm / 19.5cm / 30cm), a 'VICHY' print on the smaller bag, and 'MPKJ GROUP' text on a reflective base.",C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\กระเป๋า mpkj,moji 1.jpg,public/images/products/ex098-bags/ex098-bags-square.jpg
EX099,C,กระเป๋าผ้า Paris Bag (Size L),กระเป๋า,ครีม/Cream,2,,,"Live is a model (sunglasses, face/arms) holding a 'HOLIDAY GARDEN' tote, with ghosted 'Spring' marketing panels and a faded duplicate floating on the right.",C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\กระเป๋า mpkj,paris 1.jpg,public/images/products/ex099-bags/ex099-bags-square.jpg
EX100,C,กระเป๋าผ้าลายทาง Puffy PopLine Bag,กระเป๋า,ลายทางแดง/Red stripe,3,,,"Live is a 4-bag grid 'Puffy PopLine SIZE-M' with color codes (PM-R/PM-B/PM-BL/PM-G), color names, dimension labels (38/35cm), bag prints (Rally/Bon Voyage/MPKJ heart) and 'MPKJ GROUP / URBAN ASSET SERVICE'.",C:\Users\Golf\Documents\Claude\Projects\Gopremium Website LIVE\Demo\สินค้าพร้อมส่ง\สินค้าพร้อมส่ง\กระเป๋า mpkj,popline 1.jpg,public/images/products/ex100-bags/ex100-bags-square.jpg
