Campaign,Campaign status,Campaign daily budget,Campaign type,Networks,Ad group,Ad group status,Keyword,Match type,Final URL,Keyword status
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG1 - Powerbank องค์กร,Paused,พาวเวอร์แบงค์พรีเมี่ยม,Phrase,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/category/powerbank,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG1 - Powerbank องค์กร,Paused,พาวเวอร์แบงค์พรีเมี่ยม,Exact,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/category/powerbank,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG1 - Powerbank องค์กร,Paused,power bank สกรีนโลโก้,Phrase,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/category/powerbank,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG1 - Powerbank องค์กร,Paused,พาวเวอร์แบงค์ พิมพ์โลโก้,Phrase,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/category/powerbank,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG2 - ของชำร่วยองค์กร,Paused,สั่งทำของชำร่วย,Phrase,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/category/souvenir,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG2 - ของชำร่วยองค์กร,Paused,สั่งทำของชำร่วย,Exact,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/category/souvenir,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG2 - ของชำร่วยองค์กร,Paused,ของชำร่วยองค์กร,Phrase,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/category/souvenir,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG2 - ของชำร่วยองค์กร,Paused,ของแจกงานสัมมนา,Phrase,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/category/souvenir,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG3 - Welcome Kit,Paused,ของขวัญต้อนรับพนักงานใหม่,Phrase,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/occasion/welcome,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG3 - Welcome Kit,Paused,ของขวัญต้อนรับพนักงานใหม่,Exact,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/occasion/welcome,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG3 - Welcome Kit,Paused,welcome kit พนักงานใหม่,Phrase,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/occasion/welcome,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG4 - ร่มองค์กร,Paused,ร่ม premium,Phrase,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/category/umbrella,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG4 - ร่มองค์กร,Paused,ร่มพรีเมียม,Phrase,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/category/umbrella,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG4 - ร่มองค์กร,Paused,ร่ม สกรีนโลโก้,Phrase,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/category/umbrella,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG5 - ด่วนพร้อมส่ง,Paused,ของพรีเมี่ยม พร้อมส่ง,Phrase,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/express,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG5 - ด่วนพร้อมส่ง,Paused,ของพรีเมี่ยม ด่วน,Phrase,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/express,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG6 - ปีใหม่ 2027,Paused,ของขวัญปีใหม่ บริษัท,Phrase,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/occasion/newyear,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG6 - ปีใหม่ 2027,Paused,ของขวัญปีใหม่ บริษัท,Exact,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/occasion/newyear,Paused
GO PREMIUM - Search TH - Pilot,Paused,265,Search,Google Search,AG6 - ปีใหม่ 2027,Paused,ของขวัญปีใหม่ พนักงาน 2027,Phrase,https://www.xn--22ck4b1ansahhp4gvdtab7n8e.com/occasion/newyear,Paused
