SKU,Supplier,Name,Category,#Colors,Colors,Status,New?
EX001,SUP-00001,เสื้อยืดคอกลม แขนสั้น,garment,30,ขาว / ดำ / เหลือง / ชมพูอ่อน / โอรส / ม่วงอ่อน / ส้ม / เขียวมินต์ / ฟ้า / เทาหินอ่อน / ฟ้าน้ำทะเล / กรม / แดง / น้ำตาล / ชมพูเข้ม / บานเย็น / เขียวขี้ม้า / เทาดิน / ม่วงเข้ม / เขียวหยก / น้ำเงิน / เลือดหมู / เขียวไมโล / เทาท็อป / เขียวตอง / ครีม / ฟ้าอ่อน / ฟ้าเข้ม / เทาอวกาศ / ดำท็อป,ok,
EX002,SUP-00001,เสื้อยืดคอกลม แขนยาว,garment,6,ขาว / ดำ / กรมท่า / เลือดหมู / เทาท็อป / ดำท็อป,ok,
EX003,SUP-00001,เสื้อยืดคอกลม,garment,30,ขาว / ดำ / เหลือง / ชมพูอ่อน / โอรส / ม่วงอ่อน / ส้ม / เขียวมินต์ / ฟ้า / เทาหินอ่อน / ฟ้าน้ำทะเล / กรม / แดง / น้ำตาล / ชมพูเข้ม / บานเย็น / เขียวขี้ม้า / เทาดิน / ม่วงเข้ม / เขียวหยก / น้ำเงิน / เลือดหมู / เขียวไมโล / เทาท็อป / เขียวตอง / ครีม / ฟ้าอ่อน / ฟ้าเข้ม / เทาอวกาศ / ดำท็อป,weak,
EX007,SUP-00001,เสื้อยืดคอวี แขนสั้น,garment,0,,new,NEW
EX004,SUP-00002,กระบอกน้ำพลาสติก,drinkware,1,clear / transparent (ใส) with black lid,weak,
EX005,SUP-00002,กระบอกน้ำสแตนเลส,drinkware,1,terracotta / brick red (แดงอิฐ),ok,
EX006,SUP-00002,แก้วพร้อมปลอก,drinkware,10,brown / tan (น้ำตาล) / navy / dark blue (กรมท่า) / grey (เทา) / caramel / light brown (น้ำตาลอ่อน) / beige / cream (เบจครีม) / pink (ชมพู) / red (แดง) / pastel yellow (เหลืองพาสเทล) / off-white / ivory (ขาวงาช้าง) / mint green (เขียวมิ้นต์),ok,
EX008,SUP-00004,หมวกบันเดิล 4 ทรง (ตาข่าย/ปีกแข็ง/บักเก็ต/คลุมหน้า),hat,26,แดง / น้ำตาล / ครีม / ขาว / ดำ / เหลือง / น้ำเงิน / ฟ้า / เขียว-ทหาร / กรม / ลายพราง / ชมพู / เทา / ส้ม / แดงเลือดหมู / เขียว / บานเย็น / ม่วง / เขียวเข้ม / ฟ้าอ่อน / เทาอ่อน / เขียวขี้ม้า / ครีมเข้ม / น้ำตาลเข้ม / กรมท่า / ลายทหาร,pack,
EX009,SUP-00004,หมวกแก๊ปผ้าลีวาย (เดนิม/ยีนส์),hat,14,ม่วง / เขียวอ่อน / เหลือง / ส้ม / น้ำเงิน / แดง / ฟ้า / กรมท่า / ขาว / ดำ / ชมพู / เขียวเข้ม / บานเย็น / ครีม,weak,
EX043,SUP-00004,หมวกแก๊ปตาข่าย (ทรัคเกอร์) เกรดพรีเมียม,hat,22,ชมพู / น้ำเงิน / ดำ / แดง / ฟ้า / เหลือง / เทา / ส้ม / แดงเข้ม / เขียว / บานเย็น / ดำ-ขาว / ส้ม-ขาว / ลายพราง / กรม / ม่วง / เขียวเข้ม / ขาว / กรมท่า / เทาเข้ม / เทาอ่อน / น้ำตาล,new,NEW
